issue_id,commit_id,method,score
MNG-710,daba7dca27684b7c19a0aaf6e857dfd60f7145fc,default,1
MNG-715,0b4aa2dc4141fa107008c3efebd49fcd4a4d3a6a,default,1
MNG-721,ce8f50cc0a6e4cf8320f652fc92a50225625e246,default,1
MNG-721,7ac27ec84cf1766c37767b4b87c768d8ed33fcc1,default,1
MNG-73,b4e6c5b9075b32b6f279ecbb49286ccbc5dac59a,default,1
MNG-732,39a609608665697624e41eb62ff4d6f1faad9c23,default,1
MNG-738,84d1a85baff7daad9a77ddb1ab174af510ad02ed,default,1
MNG-738,a98961eeedc4cd03fc02694b9502939edbfe43b2,default,1
MNG-742,0bb64a478bbf795df8b69e2fe267ebdd8c8e6481,default,1
MNG-753,b0c3a2fedcd5255debff6d03a60d7a4483430019,default,1
MNG-753,cddc9df70e8a0798762342a828f5ea0038ed3101,default,1
MNG-753,d466205274b1a04edc89551db56aa32049ee2b39,default,1
MNG-758,bc77a5ba07e5f26c0c841bf1bd1f370f5f24d956,default,1
MNG-760,fe3df1bd1d702d6b769a8d62015e5011a70ecc15,default,1
MNG-764,87dc3a9e1608adadd9fea25d9d45caecdd478b0c,default,1
MNG-801,2715208e7496a889cacc6bbd635be5621a6bba10,default,1
MNG-828,ae893b50559353b28c8bcf696ca5a48d5e8e6845,default,1
MNG-829,286075ab3851a6a4b3c8a07cdc5ce1bddb0f340e,default,1
MNG-829,9ad08679f81929e7104a60bafc4fd9b346fc2ac1,default,1
MNG-830,779e7867f45fd402710e9bf79f078cdfb72a45cb,default,1
MNG-850,5d3ae9656b2a7f8dedb33e738586af62b597a24f,default,1
MNG-852,d18e4b8a1b3f61c44e49dbffe9b52cf9328e2d69,default,1
MNG-853,42718256a53230229a82f7253a2b73631213c140,default,1
MNG-854,698d6a9567e5872160639c6fbb7a64c8707f1aa1,default,1
MNG-856,0f021ff7eb7cc6abff55e5cfcc53188e5c4ad928,default,1
MNG-858,a6a01793d88a4b7c0e0c023882fde33ce0b17c62,default,1
MNG-897,896baf28323092a18b244c0642fe2e746818f997,default,1
MNG-897,cd60968a2aa0a82aa579ddf58653517930d189e6,default,1
MNG-90,74c818888a284151227cefd6817889782c9ace30,default,1
MNG-934,def783e4cffbe91beea9454e2ccae2db1c2a1e2c,default,1
MNG-938,a2c8a904cc423b2beb1b228390e06d977d57f9bd,default,1
MNG-947,99db09fcac4b01d198e3d7d32b5870e15fed4135,default,1
MNG-947,f3932e47fa1361d8baeba260a4a9c48f70a09b1f,default,1
MNG-95,b69490b82874e311a1407921fc3ba1f913de7c75,default,1
MNG-953,5cec6658fbde56c9cb027e36502d46055607653f,default,1
MNG-962,3510e98e3f6626a2965fd4d749c2cc9fa7fee26e,default,1
MNG-971,ae98e4f4b8892ae85d71bccd7e20ef558856262a,default,1
