commit_id,commit_date,content,author,type
8aa1452e73bb348407ee0f305b195c9da3f80b68,Mon Apr 10 00:00:00 EDT 2006,Fixing for -DperformRelease=true profile injection. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@393029 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
211c8033c9f9efae441bc5c3850c22bb9f042564,Sun Apr 09 00:00:00 EDT 2006,get rid of jelly directory git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@392761 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
e6c0d4695bd88427f144b9b9758eec9333dbbdfb,Sat Apr 08 00:00:00 EDT 2006,it's a duhrectory! git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@392492 13f79535-47bb-0310-9956-ffa450edef68 Brett Leslie Porter,Brett Leslie Porter,commit
fb99d2fabab6f94b3cc4455e8fed976ca16f0643,Sat Apr 08 00:00:00 EDT 2006,make ci work for branch  too git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@392479 13f79535-47bb-0310-9956-ffa450edef68 Brett Leslie Porter,Brett Leslie Porter,commit
ed406fed1eaf5bebef496e130e9d317ccefbc058,Fri Apr 07 00:00:00 EDT 2006,fix the distribution directory git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@392355 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
2322ec1e40b8a573f5cce4b72073ff1c5e0afd4c,Fri Apr 07 00:00:00 EDT 2006,o use the latest release of the assembly plugin git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@392335 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
b06a698bb1a23269861e9af19f32c751cccd481f,Fri Apr 07 00:00:00 EDT 2006,put maven-tools in the modules git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@392329 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
94e440000d30ce640abcaa1e2505f7ce4c382cc5,Fri Apr 07 00:00:00 EDT 2006,o merge of the maven-embedder-refactor branch into the trunk git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@392327 13f79535-47bb-0310-9956-ffa450edef68 Jason van Zyl,Jason van Zyl,commit
ea8e24b1fb71c6be94cbcbc909d729eeca583a6a,Thu Apr 06 00:00:00 EDT 2006,Merging 391974 from branch to fix IT errors introduced when attempting to fix the case where a resolved POM expression contains a substring referencing that POM element. Two-expression cycles are still possible. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/trunk@391988 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
45a704eda2f12bb0701bbaf1995bea4f38f6e2c2,Thu Apr 06 00:00:00 EDT 2006,Fixing integration tests...bad string comparison when looking for self-referencing expressions during interpolation. git-svn-commit_id: https://svn.apache.org/repos/asf/maven/components/branches/maven-2.0.x@391974 13f79535-47bb-0310-9956-ffa450edef68 John Dennis Casey,John Dennis Casey,commit
